hour,weather,traffic_delay,day_of_week,target
6,1,0.2892591776371653,4,0
19,1,17.557647185507854,0,1
14,1,43.6419042014777,5,1
10,3,14.999982185224372,3,1
7,2,8.57171667001608,6,0
20,1,11.171467725693699,2,1
6,2,3.3401950274906773,5,0
18,1,20.827100827372917,1,1
22,1,20.58112880282289,0,1
10,3,2.3588853426389336,3,0
10,0,31.55335585979842,0,1
23,3,4.704021216709054,0,1
20,1,60.47566923884412,1,1
3,1,7.240936167943082,3,0
7,0,2.938107691560146,6,0
23,2,6.501491234215919,0,1
2,2,8.702108439626674,1,0
21,1,1.077399594670899,2,0
20,2,12.9490138491192,1,1
1,1,13.65583919133964,4,0
23,0,20.14452678828664,5,1
11,0,0.44405688469572124,1,0
5,1,11.688362840038504,1,0
1,0,0.815376648521325,1,0
20,3,18.116912444713492,6,1
0,3,0.8601150540540753,0,0
11,0,36.40995906560144,6,1
21,1,18.16408351424914,3,1
11,1,10.620555242659693,1,0
16,0,8.737615277593356,1,0
9,2,2.1005325714778382,4,0
15,3,5.158483372044767,4,0
14,2,30.48368743626878,2,1
14,1,35.222025506519444,2,1
18,1,0.01121982065779236,4,0
11,2,13.526071731309486,3,1
22,0,19.057064479232725,2,1
19,2,14.464380543398146,5,1
2,2,1.2781366376596992,5,0
4,3,3.6832321272569737,3,0
18,3,4.322037978630063,4,0
6,2,26.7323031309255,2,1
20,2,9.331929648450911,1,1
8,1,10.007169305360824,4,0
6,3,40.975858855693225,2,1
17,3,15.203836216930018,3,1
3,1,34.34025118480405,5,1
13,0,9.146127985954527,3,0
17,3,2.427838860927983,2,0
8,3,39.87510562942936,3,1
20,0,9.206866138958489,2,1
1,3,3.006636890428274,2,0
19,3,5.401549502854533,3,1
14,0,0.7820772406517171,0,0
6,0,9.475154562898073,1,0
11,2,28.772924854522497,4,1
7,1,40.676458928397075,5,1
14,1,40.45714520819736,1,1
2,0,2.006914704271072,4,0
13,0,7.220310207822082,4,0
16,3,0.42952277483408063,5,0
3,2,28.98243746036913,1,1
17,2,6.665173022186292,5,0
7,0,14.959137510050361,2,0
3,3,18.823647068553523,5,1
1,3,8.427696690823511,3,0
5,1,5.488813413515251,0,0
21,1,49.136816582289754,0,1
9,3,50.06836422042994,0,1
3,1,5.12545164048415,1,0
21,0,9.798086390699666,1,1
17,3,54.09244657650046,2,1
11,1,0.07320445433584082,6,0
1,2,7.9827372074368945,0,0
9,3,1.5880355019825376,2,0
3,3,10.674493876120627,6,0
13,2,0.3746903565247352,0,0
15,0,7.835844230658254,1,0
14,2,3.7403701634281377,6,0
7,3,11.431298166922037,3,0
13,0,82.79811678209485,3,1
22,1,24.181830556644947,3,1
7,1,28.0272193905789,5,1
20,1,15.128762727369239,3,1
15,3,0.6367223693680828,4,0
12,2,3.475154287383836,0,0
17,0,38.86692433100224,3,1
14,1,6.838271398643007,6,0
20,0,1.6411426346989175,4,0
23,3,18.180345099752092,4,1
12,1,5.3385084563183245,4,0
8,3,4.697191452091227,2,0
14,2,93.05098403410437,6,1
12,3,29.29360568296651,2,1
0,3,7.862154196099103,4,0
6,2,58.87754149642364,5,1
8,0,15.752185084771446,3,0
23,2,20.32324080955486,0,1
0,2,0.4803039529200496,6,0
11,3,1.9448879349433998,5,0
7,0,15.039381152077352,1,0
23,1,34.39308363468224,2,1
10,2,14.662271823117468,3,1
18,0,2.1584867573949875,3,0
16,2,1.8454021842012909,1,0
7,2,27.886374332968984,1,1
2,2,2.2501797681977953,6,0
2,2,11.016788144005108,3,0
0,3,0.5672932200689905,1,0
4,0,1.2616482314920827,3,0
9,0,16.737060394381917,5,1
6,0,17.528187754020518,6,0
8,2,6.266164494979579,1,0
6,3,3.6427295107934485,5,0
8,2,25.206781996499174,5,1
7,2,3.671316451293242,1,0
11,0,11.714178010345973,6,0
1,2,51.7285056360899,3,1
0,1,2.399933582282118,4,0
15,2,42.42184304913708,3,1
22,1,3.0297793603847905,0,0
22,2,12.570624754526692,1,1
23,3,7.098317085259196,2,1
4,3,50.25554007433671,6,1
